Zip,State
54813,WI
33928,FL
2026,MA
76262,TX
83666,ID
33437,FL
52135,IA
88231,NM
54835,WI
13320,NY
58206,ND
4009,ME
41408,KY
81645,CO
3849,NH
21001,MD
18370,PA
35802,AL
97321,OR
55328,MN
74881,OK
65645,MO
38041,TN
85221,AZ
54628,WI
13224,NY
89150,NV
30126,GA
47577,IN
24898,WV
35631,AL
65572,MO
6770,CT
63199,MO
34981,FL
94513,CA
91769,CA
63664,MO
92167,CA
23056,VA
42338,KY
22039,VA
13147,NY
41052,KY
85713,AZ
12533,NY
55811,MN
14559,NY
62379,IL
30905,GA
65048,MO
11765,NY
30531,GA
15333,PA
50836,IA
15006,PA
97258,OR
41843,KY
43154,OH
20879,MD
5501,MA
14867,NY
15734,PA
23153,VA
46001,IN
74901,OK
60120,IL
20874,MD
6784,CT
18331,PA
55564,MN
81425,CO
84008,UT
16038,PA
19136,PA
60973,IL
24577,VA
50841,IA
78953,TX
38857,MS
71952,AR
45832,OH
72434,AR
30017,GA
60140,IL
25666,WV
93238,CA
67490,KS
49019,MI
37615,TN
47273,IN
74447,OK
4363,ME
34420,FL
47261,IN
84023,UT
62239,IL
92270,CA
32345,FL
73641,OK
20537,DC
51028,IA
30311,GA
38614,MS
29804,SC
47991,IN
46206,IN
2878,RI
98277,WA
88577,TX
90632,CA
75687,TX
32072,FL
11592,NY
77664,TX
97116,OR
20813,MD
